Frame_size,Epoch_time,Time_delta_from_previous_captured_pkt,Coloring_rule_name,len,File_data,Total_length,Time_since_previous_frame_in_this_tcp_stream,Tcp_payload,Label
85,1570898952,0.001224,2,31,0,71,0.010443,31,15
93,1570898952,0.000621,2,39,0,79,0.000621,39,15
93,1570898952,0.000182,2,39,0,79,0.000503,39,15
571,1570898953,0.002742,2,517,0,557,0.002742,517,4
1418,1570898953,0.004394,2,1364,0,1404,0.004394,1364,6
1219,1570898953,0.002071,2,1165,0,1205,0.002071,1165,9
180,1570898953,0.030114,2,126,0,166,0.030643,126,8
147,1570898953,0.000501,2,93,0,133,0.000501,93,15
1094,1570898953,0.00066,2,1040,0,1080,0.00066,1040,15
571,1570898954,0.000595,2,517,0,557,0.000595,517,4
312,1570898954,0.15697,2,258,0,298,0.228503,258,12
123,1570898954,0.004612,2,69,0,109,0.004612,69,15
92,1570898954,0.000003,2,38,0,78,0.000003,38,15
92,1570898954,0.000251,2,38,0,78,0.000251,38,15
1228,1570898954,0.005434,2,1174,0,1214,0.0004534,1174,15
92,1570898954,0.000001,2,38,0,78,0.000001,38,15
1418,1570898954,0.013827,2,1364,0,1404,0.013827,1364,6
1098,1570898954,0,2,1044,0,1084,0,1044,15
118,1570898954,0.013442,2,64,0,104,0.021203,64,15
231,1570898954,0.001072,2,177,0,217,0.001072,177,15
567,1570898954,0.001467,2,513,0,553,0.001467,513,15
166,1570898954,0.004229,2,112,0,152,0.004229,112,15
181,1570898954,0.001531,2,127,0,167,0.001531,127,15
571,1570898954,0.002872,2,517,0,557,0.002872,517,4
1418,1570898954,0.001741,2,1364,0,1404,0.001741,1364,5
1219,1570898954,0.003969,2,1165,0,1205,0.003969,1165,9
571,1570898954,0.00251,2,517,0,557,0.00251,517,4
180,1570898954,0.016323,2,126,0,166,0.022178,126,8
147,1570898954,0.000381,2,93,0,133,0.000381,93,15
1090,1570898954,0.000599,2,1036,0,1076,0.000599,1036,15
126,1570898954,0.000149,2,72,0,112,0.000149,72,15
1418,1570898954,0,2,1364,0,1404,0,1364,5
1219,1570898954,0.000002,2,1165,0,1205,0.000002,1165,9
312,1570898954,0,2,258,0,298,0.232717,258,12
123,1570898954,0.000001,2,69,0,109,0.000001,69,15
92,1570898954,0,2,38,0,78,0,38,15
986,1570898954,0.00139,2,932,0,972,0.00139,932,15
92,1570898954,0.000001,2,38,0,78,0.000001,38,15
180,1570898954,0.00393,2,126,0,166,0.005585,126,8
92,1570898954,0.002055,2,38,0,78,0.005985,38,15
173,1570898954,0.009418,2,119,0,159,0.009418,119,15
111,1570898954,0.000195,2,57,0,97,0.000195,57,15
312,1570898954,0,2,258,0,298,0.245687,258,12
123,1570898954,0.000387,2,69,0,109,0.000387,69,15
433,1570898954,0.00119,2,379,0,419,0.001681,379,15
92,1570898954,0.001368,2,38,0,78,0.001368,38,15
158,1570898954,0.000664,2,104,0,144,0.017139,104,15
367,1572441312,0.003619,2,313,0,353,0.003619,313,21
349,1572441312,0.001778,2,295,0,335,0.001778,295,20
381,1572441312,0.005129,2,327,0,367,0.005129,327,21
729,1572441312,0.003711,2,675,11951,715,0.003711,675,22
351,1572441313,0.003005,2,297,0,337,0.003005,297,21
345,1572441313,0.000001,2,291,0,331,0.000001,291,20
365,1572441313,0.002973,2,311,0,351,0.002973,311,21
464,1572441313,0.005848,2,410,2,450,0.267918,410,20
357,1572441313,0.012891,2,303,0,343,0.318847,303,21
180,1572441312,0.01135,2,126,0,166,0.01135,126,26
328,1572441312,0.026597,2,274,0,314,0.026597,274,27
384,1572441312,0.006339,2,330,0,370,0.006339,330,28
1067,1572441312,0.001033,2,1013,0,1053,0.027106,1013,28
85,1572441312,0.026402,2,31,0,71,0.026402,31,23
271,1572441312,0.002207,2,217,0,257,0.002207,217,24
1514,1572441312,0.001665,2,1460,0,1500,0.001665,1460,25
